Url,Name,Price,Rating,No of Reviews
/FunBlast-Sling-Bag-Ring-Mirror/dp/B0BS42FYPT,"FunBlast Sling Bag with Key Ring, Comb and Mirror – Silicone Mini Bag for Girls, Fancy Bag for Girls, Purse, Stylish Cross Body Bag with Adjustable Strap, Korean Bag for Girls",899,New to Amazon,N/A
/Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,664,4.1,"(3,846)"
/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18,"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",299,4.4,(281)
/Lychee-bags-Womens-Canvas-Zig-Zag/dp/B07MXJWDW3,Lychee bags Canvas Printed Sling Bag,455,3.9,(295)
/Nivia-5177SB-Polyester-String-Blue/dp/B071XMLFTL,NIVIA String Bag/Drawstring Bag/Sports Bag Boys/Polyester String Bag/Kit Bags/Drawstring Sports Bag/Dori Backpack/Gym Bag/String Bag Men Waterproof/Drawstring Backpack (Sky Blue),193,4.1,(456)
/ASTRID-Round-Textured-Pinkish-Purple/dp/B09DCVFH15,ASTRID Round Textured Sling Bag For Girls With Zip,429,3.8,(197)
/Bennett-15-6-inch-College-Repellent-Backpack/dp/B09WZHX3B1,"Bennett Casual Laptop Bag school bags for boys girls 15.6-inch, 25 LTR Office & College bags for mens Water Repellent Backpack for Men & Women (Black)",512,4.0,(435)
/FloMotif-Business-Shoulder-material-resistant/dp/B07NHYLTY7,ZOUK Black Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with Double Handles - FloMotif,"1,699",4.4,"(1,842)"
/BESTAQUA-Capacity-Cosmetic-Cosmetics-Organizer/dp/B0BW62ZR8N,"BESTAQUA Large Capacity Cosmetic Travel Bag, Women's Makeup Travel Bag Portable Leather Cosmetics Bag, Makeup Storage Bags with Handle and Divider,Makeup Organizer Bags(Multi)",799,1.0,(1)
/Protecta-Professional-15-6-inch-Briefcase-Geometric/dp/B07GNCRCP4,Protecta The Professional Laptop Bag Briefcase for Laptops with Screen Size Up to 15.6 Inch (Black & Indian Geometric Print),674,4.4,"(1,411)"
